Goals,Deaths,Reward,Step 
209,219,-1,66280
210,219,1.108696,66375
210,220,-1,66540
211,220,1.05291,66730
212,220,1.068493,66880
212,221,-1,66995
212,222,-1,67080
212,223,-1,67305
212,224,-1,67480
212,225,-1,67615
212,226,-1,67745
212,227,-1,67865
213,227,1.097087,67970
214,227,1.0625,68130
214,228,-1,68245
214,229,-1,68360
214,230,-1,68505
214,231,-1,68615
214,232,-1,68780
215,232,1.084746,68900
216,232,1.102041,69000
217,232,1.113636,69090
218,232,1.081301,69215
218,233,-1,69390
218,234,-1,69550
218,235,-1,69850
218,236,-1,69970
219,236,1.055866,70150
220,236,1.056818,70330
220,237,-1,70555
220,238,-1,70640
221,238,1.072464,70780
222,238,1.046083,71000
222,239,-1,71130
223,239,1.037736,71395
223,240,-1,71510
223,241,-1,71700
224,241,1.119048,71785
225,241,1.09009,71900
226,241,1.09009,72015
226,242,-1,72190
226,243,-1,72390
227,243,1.097087,72495
228,243,1.06993,72640
228,244,-1,72815
228,245,-1,73085
229,245,1.057143,73260
230,245,1.053763,73450
231,245,1.081967,73575
231,246,-1,73765
231,247,-1,73900
232,247,1.043478,74130
232,248,-1,74360
232,249,-1,74485
233,249,1.081967,74610
234,249,1.10989,74705
234,250,-1,74835
235,250,1.090909,74945
236,250,1.055249,75130
237,250,1.079365,75260
237,251,-1,75440
237,252,-1,75575
238,252,1.082645,75700
239,252,1.056818,75880
240,252,1.062893,76040
240,253,-1,76195
240,254,-1,76295
240,255,-1,76515
241,255,1.073529,76655
242,255,1.078125,76785
243,255,1.065789,76940
243,256,-1,77070
243,257,-1,77200
244,257,1.077519,77330
245,257,1.092593,77440
245,258,-1,77590
245,259,-1,77685
245,260,-1,77875
246,260,1.080645,78000
247,260,1.116279,78090
248,260,1.065789,78245
248,261,-1,78455
248,262,-1,78615
249,262,1.084746,78735
250,262,1.05988,78905
250,263,-1,79070
250,264,-1,79285
251,264,1.073529,79425
252,264,1.088496,79540
252,265,-1,79700
252,266,-1,79880
253,266,1.080645,80005
254,266,1.092593,80115
254,267,-1,80210
254,268,-1,80335
254,269,-1,80450
255,269,1.050251,80650
256,269,1.123457,80735
256,270,-1,80910
257,270,1.064103,81070
257,271,-1,81205
258,271,1.064103,81365
259,271,1.060976,81530
260,271,1.09009,81645
261,271,1.117647,81730
261,272,-1,81870
262,272,1.047847,82080
263,272,1.091743,82190
263,273,-1,82380
